time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,70.0,53.0,86,49
2023-01-04 00:00:00+00:00,71.0,44.0,168,49
2023-01-05 00:00:00+00:00,62.0,40.0,126,57
2023-01-06 00:00:00+00:00,63.0,43.0,81,42
2023-01-07 00:00:00+00:00,28.0,22.0,35,19
2023-01-08 00:00:00+00:00,4.0,3.0,13,9
2023-01-09 00:00:00+00:00,10.0,5.0,141,52
2023-01-10 00:00:00+00:00,4.0,3.0,173,71
2023-01-11 00:00:00+00:00,1.0,1.0,103,57
2023-01-12 00:00:00+00:00,8.0,6.0,150,63
2023-01-13 00:00:00+00:00,6.0,6.0,135,45
2023-01-14 00:00:00+00:00,5.0,2.0,56,26
2023-01-15 00:00:00+00:00,54.0,44.0,68,22
2023-01-16 00:00:00+00:00,154.0,85.0,80,41
2023-01-17 00:00:00+00:00,,,1,1
