time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,2,2,72,35
2025-04-02 00:00:00+00:00,2,2,60,31
2025-04-03 00:00:00+00:00,6,6,33,26
2025-04-04 00:00:00+00:00,13,9,45,29
2025-04-05 00:00:00+00:00,2,2,4,3
2025-04-06 00:00:00+00:00,8,4,26,8
2025-04-07 00:00:00+00:00,2,2,52,31
2025-04-08 00:00:00+00:00,4,4,70,35
2025-04-09 00:00:00+00:00,2,2,40,29
2025-04-10 00:00:00+00:00,7,5,55,23
2025-04-11 00:00:00+00:00,2,2,93,30
2025-04-12 00:00:00+00:00,4,3,65,11
2025-04-13 00:00:00+00:00,8,2,22,13
2025-04-14 00:00:00+00:00,6,3,60,33
