time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-10 00:00:00+00:00,14,5,135,44
2023-02-11 00:00:00+00:00,27,8,132,25
2023-02-12 00:00:00+00:00,26,6,37,17
2023-02-13 00:00:00+00:00,22,8,167,59
2023-02-14 00:00:00+00:00,12,3,142,66
2023-02-15 00:00:00+00:00,23,6,146,72
2023-02-16 00:00:00+00:00,18,4,191,70
2023-02-17 00:00:00+00:00,18,5,109,49
2023-02-18 00:00:00+00:00,12,5,77,19
2023-02-19 00:00:00+00:00,17,4,86,22
2023-02-20 00:00:00+00:00,13,3,165,61
2023-02-21 00:00:00+00:00,16,9,131,64
2023-02-22 00:00:00+00:00,12,5,160,62
2023-02-23 00:00:00+00:00,16,4,107,54
