time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-11 00:00:00+00:00,1.0,1.0,82,48
2023-01-12 00:00:00+00:00,8.0,6.0,150,63
2023-01-13 00:00:00+00:00,6.0,6.0,135,45
2023-01-14 00:00:00+00:00,5.0,2.0,56,26
2023-01-15 00:00:00+00:00,54.0,44.0,68,22
2023-01-16 00:00:00+00:00,154.0,85.0,80,41
2023-01-17 00:00:00+00:00,96.0,59.0,78,43
2023-01-18 00:00:00+00:00,23.0,20.0,109,39
2023-01-19 00:00:00+00:00,2.0,2.0,111,49
2023-01-20 00:00:00+00:00,1.0,1.0,97,46
2023-01-21 00:00:00+00:00,5.0,2.0,50,9
2023-01-22 00:00:00+00:00,,,54,12
2023-01-23 00:00:00+00:00,50.0,38.0,131,62
2023-01-24 00:00:00+00:00,60.0,41.0,90,39
