time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-13 00:00:00+00:00,3.0,2.0,57,37
2024-08-14 00:00:00+00:00,1.0,1.0,105,35
2024-08-15 00:00:00+00:00,2.0,1.0,66,32
2024-08-16 00:00:00+00:00,9.0,5.0,142,46
2024-08-17 00:00:00+00:00,2.0,2.0,51,18
2024-08-18 00:00:00+00:00,,,45,23
2024-08-19 00:00:00+00:00,3.0,3.0,91,45
2024-08-20 00:00:00+00:00,5.0,2.0,171,46
2024-08-21 00:00:00+00:00,3.0,2.0,258,57
2024-08-22 00:00:00+00:00,3.0,3.0,244,43
2024-08-23 00:00:00+00:00,3.0,2.0,317,45
2024-08-24 00:00:00+00:00,3.0,3.0,96,17
2024-08-25 00:00:00+00:00,,,40,16
2024-08-26 00:00:00+00:00,1.0,1.0,80,39
