url_path,views_total,views_unique
/gitblit-org/gitblit,169,122
/gitblit-org/gitblit/releases,54,38
/gitblit-org/gitblit/issues/461,48,42
/gitblit-org/gitblit/issues,46,19
/gitblit-org/gitblit/tree/master/src,32,13
/gitblit-org/gitblit/tree/master/src/main,23,10
/gitblit-org/gitblit/tree/master/src/main/java,19,7
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,16,6
/gitblit-org/gitblit/blob/8d24e989eb0e3f79cabd63b92f8feb91da8bf818/src/main/java/com/gitblit/wicket/pages/TicketPage.java,15,1
/gitblit-org/gitblit/issues/533,13,11
