time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-09 00:00:00+00:00,5,4,157,56
2024-04-10 00:00:00+00:00,4,3,194,63
2024-04-11 00:00:00+00:00,8,4,98,41
2024-04-12 00:00:00+00:00,4,4,76,28
2024-04-13 00:00:00+00:00,8,5,50,18
2024-04-14 00:00:00+00:00,4,3,26,16
2024-04-15 00:00:00+00:00,4,4,84,36
2024-04-16 00:00:00+00:00,2,2,124,49
2024-04-17 00:00:00+00:00,6,5,97,32
2024-04-18 00:00:00+00:00,4,4,176,50
2024-04-19 00:00:00+00:00,3,3,106,36
2024-04-20 00:00:00+00:00,7,4,108,13
2024-04-21 00:00:00+00:00,5,3,28,19
2024-04-22 00:00:00+00:00,4,3,177,43
