time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,198,20,24,18
2026-03-14 00:00:00+00:00,3383,27,9,8
2026-03-15 00:00:00+00:00,129,24,9,7
2026-03-16 00:00:00+00:00,5881,36,31,20
2026-03-17 00:00:00+00:00,2724,23,26,14
2026-03-18 00:00:00+00:00,3873,29,47,28
2026-03-19 00:00:00+00:00,2479,23,46,25
2026-03-20 00:00:00+00:00,7126,26,24,17
2026-03-21 00:00:00+00:00,280,30,17,12
2026-03-22 00:00:00+00:00,6905,38,14,10
2026-03-23 00:00:00+00:00,526,21,42,17
2026-03-24 00:00:00+00:00,2967,15,34,25
2026-03-25 00:00:00+00:00,2436,22,30,18
2026-03-26 00:00:00+00:00,173,18,30,21
