time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,3,1,19,6
2025-06-09 00:00:00+00:00,6,3,45,21
2025-06-10 00:00:00+00:00,1,1,79,25
2025-06-11 00:00:00+00:00,3,3,77,30
2025-06-12 00:00:00+00:00,37,14,53,26
2025-06-13 00:00:00+00:00,80,22,59,23
2025-06-14 00:00:00+00:00,65,19,129,60
2025-06-15 00:00:00+00:00,41,10,45,13
2025-06-16 00:00:00+00:00,43,6,111,28
2025-06-17 00:00:00+00:00,5,3,175,25
2025-06-18 00:00:00+00:00,3,1,81,25
2025-06-19 00:00:00+00:00,3,2,152,26
2025-06-20 00:00:00+00:00,7,4,48,23
2025-06-21 00:00:00+00:00,10,7,52,16
2025-06-22 00:00:00+00:00,2,1,1,1
