time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-15 00:00:00+00:00,23,6,135,65
2023-02-16 00:00:00+00:00,18,4,191,70
2023-02-17 00:00:00+00:00,18,5,109,49
2023-02-18 00:00:00+00:00,12,5,77,19
2023-02-19 00:00:00+00:00,17,4,86,22
2023-02-20 00:00:00+00:00,13,3,165,61
2023-02-21 00:00:00+00:00,16,9,131,64
2023-02-22 00:00:00+00:00,12,5,160,62
2023-02-23 00:00:00+00:00,16,4,107,54
2023-02-24 00:00:00+00:00,8,4,81,46
2023-02-25 00:00:00+00:00,29,4,41,14
2023-02-26 00:00:00+00:00,16,2,46,20
2023-02-27 00:00:00+00:00,6,5,137,71
2023-02-28 00:00:00+00:00,1,1,166,50
