url_path,views_total,views_unique
/gitblit-org/gitblit,347,220
/gitblit-org/gitblit/issues/1384,319,273
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,152,40
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit/auth,101,23
/gitblit-org/gitblit/tree/master/src/main/java,95,47
/gitblit-org/gitblit/tree/master/src/main,76,44
/gitblit-org/gitblit/releases,74,57
/gitblit-org/gitblit/tree/master/src,74,47
/gitblit-org/gitblit/issues,72,36
/gitblit-org/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,47,14
