time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,3662,22,19,14
2026-06-25 00:00:00+00:00,2271,21,36,22
2026-06-26 00:00:00+00:00,966,24,32,25
2026-06-27 00:00:00+00:00,5583,16,15,11
2026-06-28 00:00:00+00:00,8913,20,11,11
2026-06-29 00:00:00+00:00,10026,20,9,9
2026-06-30 00:00:00+00:00,1988,22,34,23
2026-07-01 00:00:00+00:00,5282,20,24,13
2026-07-02 00:00:00+00:00,9627,23,25,14
2026-07-03 00:00:00+00:00,6594,35,47,18
2026-07-04 00:00:00+00:00,13006,39,36,17
2026-07-05 00:00:00+00:00,6044,22,40,16
2026-07-06 00:00:00+00:00,5213,26,51,26
2026-07-07 00:00:00+00:00,6177,16,27,15
