url_path,views_total,views_unique
/gitblit-org/gitblit,72,56
/gitblit-org/gitblit/releases,36,24
/gitblit-org/gitblit/issues,19,6
/gitblit-org/gitblit/releases/tag/v1.10.0,12,9
/gitblit-org/gitblit/blob/master/src/main/distrib/data/groovy/fisheye.groovy,11,1
/gitblit-org/gitblit/tree/master/src,10,9
/gitblit-org/gitblit/tree/master/src/main,6,6
/gitblit-org/gitblit/releases/tag/v1.9.3,5,4
/gitblit-org/gitblit/branches,5,3
/gitblit-org/gitblit/compare/1026-Lucene-Index-PDF...1026-Lucene-Index-PDF,5,1
