time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,7.0,3.0,48,17
2023-03-05 00:00:00+00:00,8.0,6.0,49,23
2023-03-06 00:00:00+00:00,63.0,46.0,122,54
2023-03-07 00:00:00+00:00,77.0,52.0,133,66
2023-03-08 00:00:00+00:00,68.0,48.0,231,66
2023-03-09 00:00:00+00:00,71.0,47.0,199,68
2023-03-10 00:00:00+00:00,28.0,23.0,161,59
2023-03-11 00:00:00+00:00,12.0,8.0,91,33
2023-03-12 00:00:00+00:00,,,107,35
2023-03-13 00:00:00+00:00,3.0,2.0,139,66
2023-03-14 00:00:00+00:00,3.0,2.0,260,59
2023-03-15 00:00:00+00:00,5.0,5.0,203,59
2023-03-16 00:00:00+00:00,5.0,5.0,136,63
2023-03-17 00:00:00+00:00,4.0,3.0,138,57
