time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-26 00:00:00+00:00,23.0,12.0,20,13
2025-09-27 00:00:00+00:00,22.0,9.0,20,12
2025-09-28 00:00:00+00:00,47.0,19.0,39,27
2025-09-29 00:00:00+00:00,51.0,21.0,34,27
2025-09-30 00:00:00+00:00,30.0,9.0,33,16
2025-10-01 00:00:00+00:00,47.0,21.0,22,18
2025-10-02 00:00:00+00:00,41.0,14.0,18,15
2025-10-03 00:00:00+00:00,37.0,11.0,22,13
2025-10-04 00:00:00+00:00,28.0,11.0,40,17
2025-10-05 00:00:00+00:00,63.0,19.0,42,18
2025-10-06 00:00:00+00:00,30.0,14.0,64,31
2025-10-07 00:00:00+00:00,27.0,9.0,74,46
2025-10-08 00:00:00+00:00,16.0,5.0,30,29
2025-10-09 00:00:00+00:00,27.0,15.0,75,32
2025-10-10 00:00:00+00:00,,,3,3
