time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-19 00:00:00+00:00,4,4,163,40
2024-01-20 00:00:00+00:00,10,5,34,11
2024-01-21 00:00:00+00:00,3,2,68,14
2024-01-22 00:00:00+00:00,5,5,83,45
2024-01-23 00:00:00+00:00,5,4,87,60
2024-01-24 00:00:00+00:00,4,3,128,39
2024-01-25 00:00:00+00:00,5,4,60,42
2024-01-26 00:00:00+00:00,3,3,207,40
2024-01-27 00:00:00+00:00,5,2,69,16
2024-01-28 00:00:00+00:00,3,2,68,10
2024-01-29 00:00:00+00:00,7,6,160,43
2024-01-30 00:00:00+00:00,5,4,113,45
2024-01-31 00:00:00+00:00,2,2,96,44
2024-02-01 00:00:00+00:00,2,2,196,42
