time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-11 00:00:00+00:00,7.0,3.0,102,28
2022-06-12 00:00:00+00:00,1.0,1.0,44,32
2022-06-13 00:00:00+00:00,1.0,1.0,158,82
2022-06-14 00:00:00+00:00,1.0,1.0,115,89
2022-06-15 00:00:00+00:00,3.0,3.0,171,84
2022-06-16 00:00:00+00:00,2.0,1.0,198,74
2022-06-17 00:00:00+00:00,,,190,88
2022-06-18 00:00:00+00:00,4.0,1.0,40,33
2022-06-19 00:00:00+00:00,7.0,1.0,103,33
2022-06-20 00:00:00+00:00,8.0,4.0,230,92
2022-06-21 00:00:00+00:00,2.0,2.0,276,110
2022-06-22 00:00:00+00:00,4.0,4.0,170,82
2022-06-23 00:00:00+00:00,5.0,5.0,235,97
2022-06-24 00:00:00+00:00,7.0,6.0,257,76
