time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-17 00:00:00+00:00,3,3,334,118
2022-05-18 00:00:00+00:00,1,1,383,120
2022-05-19 00:00:00+00:00,3,2,201,113
2022-05-20 00:00:00+00:00,2,2,153,89
2022-05-21 00:00:00+00:00,2,2,110,48
2022-05-22 00:00:00+00:00,6,6,124,59
2022-05-23 00:00:00+00:00,3,3,345,128
2022-05-24 00:00:00+00:00,2,1,237,115
2022-05-25 00:00:00+00:00,1,1,289,112
2022-05-26 00:00:00+00:00,9,5,151,63
2022-05-27 00:00:00+00:00,12,7,191,86
2022-05-28 00:00:00+00:00,5,4,57,29
2022-05-29 00:00:00+00:00,2,2,62,32
2022-05-30 00:00:00+00:00,5,5,176,85
