time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-26 00:00:00+00:00,4.0,4.0,147,35
2022-01-27 00:00:00+00:00,2.0,2.0,128,53
2022-01-28 00:00:00+00:00,4.0,3.0,85,40
2022-01-29 00:00:00+00:00,3.0,3.0,43,18
2022-01-30 00:00:00+00:00,1.0,1.0,19,15
2022-01-31 00:00:00+00:00,,,59,34
2022-02-01 00:00:00+00:00,11.0,5.0,111,41
2022-02-02 00:00:00+00:00,6.0,3.0,72,40
2022-02-03 00:00:00+00:00,5.0,3.0,140,49
2022-02-04 00:00:00+00:00,1.0,1.0,88,58
2022-02-05 00:00:00+00:00,33.0,9.0,63,20
2022-02-06 00:00:00+00:00,23.0,5.0,97,31
2022-02-07 00:00:00+00:00,7.0,6.0,292,82
2022-02-08 00:00:00+00:00,1.0,1.0,158,78
