url_path,views_total,views_unique
/gitblit-org/gitblit-docker,23,17
/gitblit-org/gitblit-docker/blob/master/Dockerfile,18,5
/gitblit-org/gitblit-docker/tree/master/generate,6,3
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,4,2
/gitblit-org/gitblit-docker/tree/master/migrate,4,2
/gitblit-org/gitblit-docker/blob/master/Dockerfile.alpine,2,1
/gitblit-org/gitblit-docker/actions,1,1
/gitblit-org/gitblit-docker/issues/11,1,1
