url_path,views_total,views_unique
/gitblit-org/gitblit-docker/blob/master/Dockerfile,20,6
/gitblit-org/gitblit-docker,19,14
/gitblit-org/gitblit-docker/tree/master/generate,6,3
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,4,2
/gitblit-org/gitblit-docker/tree/master/migrate,4,2
/gitblit-org/gitblit-docker/issues/4,3,3
/gitblit-org/gitblit-docker/blob/master/Dockerfile.alpine,2,1
/gitblit-org/gitblit-docker/actions,1,1
/gitblit-org/gitblit-docker/issues/11,1,1
/gitblit-org/gitblit-docker/network/members,1,1
